MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,0.5,"S ","ISM","M1","SPCOND",,20900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,1,"M ","ISM","M1","SPCOND",,20900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,2,"M ","ISM","M1","SPCOND",,20900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,3,"M ","ISM","M1","SPCOND",,20900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,5,"M ","ISM","M1","SPCOND",,20900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,7,"M ","ISM","M1","SPCOND",,21300.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,9,"M ","ISM","M1","SPCOND",,24000.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,11,"M ","ISM","M1","SPCOND",,24000.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",93852,"BAY520","TWQM","TRIB","MDDNR","MDDNR","EE2.2",1/13/2010,16:14:00,13,,,12,"B ","ISM","M1","SPCOND",,24100.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",94424,"BAY525","TWQM","TRIB","MDDNR","MDDNR","EE2.2",3/18/2010,09:23:00,12.7,,,0.5,"S ","ISM","M1","SPCOND",,19900.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
"EE2.2",94424,"BAY525","TWQM","TRIB","MDDNR","MDDNR","EE2.2",3/18/2010,09:23:00,12.7,,,1,"M ","ISM","M1","SPCOND",,20100.00000,"UMHOS/CM","F01 ",,,,,,38.52609,-76.30408,"T3"
