remarks: pid - pointID with point x/y/z; gid - gridcellID with 2-pt-center x/y/z; ESPG3559; dx=3;dy=4;dist=5;area=12;area_5x5 is along transect,,,,,,,,,,,,
lon_gid,lat_gid,pid,geox_m_pid,geoy_m_pid,distance_m_from0,gid,geox_m_gid,geoy_m_gid,area_m2_gid,area_5x5_gid,elevation_m_gid,topo_class
0,0,0,438825,133988,0,,,,,,,
-76.55257234,38.87287986,1,438828,133992,5,1,438826.5,133990,12,25,7.684549809,upland
-76.55253754,38.87291576,2,438831,133996,10,2,438829.5,133994,12,25,7.684549809,upland
-76.55250274,38.87295166,3,438834,134000,15,3,438832.5,133998,12,25,7.684549809,upland
-76.55246794,38.87298756,4,438837,134004,20,4,438835.5,134002,12,25,10.44994926,upland
-76.55243315,38.87302347,5,438840,134008,25,5,438838.5,134006,12,25,10.44994926,upland
-76.55239835,38.87305937,6,438843,134012,30,6,438841.5,134010,12,25,10.28713322,upland
-76.55236355,38.87309527,7,438846,134016,35,7,438844.5,134014,12,25,10.28713322,upland
-76.55232876,38.87313117,8,438849,134020,40,8,438847.5,134018,12,25,10.28713322,upland
-76.55229396,38.87316707,9,438852,134024,45,9,438850.5,134022,12,25,9.041090965,upland
-76.55225916,38.87320297,10,438855,134028,50,10,438853.5,134026,12,25,9.041090965,upland
-76.55222436,38.87323887,11,438858,134032,55,11,438856.5,134030,12,25,9.041090965,upland
-76.55218957,38.87327477,12,438861,134036,60,12,438859.5,134034,12,25,7.968013287,upland
-76.55215477,38.87331067,13,438864,134040,65,13,438862.5,134038,12,25,7.968013287,upland
-76.55211997,38.87334657,14,438867,134044,70,14,438865.5,134042,12,25,7.949603558,upland
-76.55208517,38.87338247,15,438870,134048,75,15,438868.5,134046,12,25,7.949603558,upland
-76.55205038,38.87341837,16,438873,134052,80,16,438871.5,134050,12,25,7.949603558,upland
-76.55201558,38.87345427,17,438876,134056,85,17,438874.5,134054,12,25,7.369748116,upland
-76.55198078,38.87349017,18,438879,134060,90,18,438877.5,134058,12,25,7.369748116,upland
-76.55194598,38.87352607,19,438882,134064,95,19,438880.5,134062,12,25,6.829341888,upland
-76.55191119,38.87356197,20,438885,134068,100,20,438883.5,134066,12,25,6.619918346,upland
-76.55187639,38.87359787,21,438888,134072,105,21,438886.5,134070,12,25,6.619918346,upland
-76.55184159,38.87363377,22,438891,134076,110,22,438889.5,134074,12,25,6.140310287,upland
-76.55180679,38.87366967,23,438894,134080,115,23,438892.5,134078,12,25,6.140310287,upland
-76.55177199,38.87370557,24,438897,134084,120,24,438895.5,134082,12,25,5.711033344,upland
-76.5517372,38.87374148,25,438900,134088,125,25,438898.5,134086,12,25,5.439850807,upland
-76.5517024,38.87377738,26,438903,134092,130,26,438901.5,134090,12,25,5.439850807,upland
-76.5516676,38.87381328,27,438906,134096,135,27,438904.5,134094,12,25,4.604022026,upland
-76.5516328,38.87384918,28,438909,134100,140,28,438907.5,134098,12,25,4.42961216,upland
-76.551598,38.87388508,29,438912,134104,145,29,438910.5,134102,12,25,4.42961216,upland
-76.55156321,38.87392098,30,438915,134108,150,30,438913.5,134106,12,25,4.158915997,upland
-76.55152841,38.87395688,31,438918,134112,155,31,438916.5,134110,12,25,4.158915997,upland
-76.55149361,38.87399278,32,438921,134116,160,32,438919.5,134114,12,25,3.046851635,upland
